Translation Keys,en-US,zh-CN
Last Week,Last Week,上周
Latest Orders,Latest Orders,新订单
Paid Orders Count,Paid Orders Count,Paid Orders Count
Qor DEMO,Qor DEMO,Qor DEMO
Registered Users Count,Registered Users Count,注册用户统计
Reports,Reports,报告
This Week,This Week,本周
Update Report,Update Report,更新报告
Yesterday,Yesterday,昨天
abandoned_orders.actions.Delete,,删除
abandoned_orders.attributes.Abandoned Reason,,Abandoned Reason
abandoned_orders.attributes.Cancelled At,,Cancelled At
abandoned_orders.attributes.ID,,ID
abandoned_orders.attributes.Payment Amount,,Payment Amount
abandoned_orders.attributes.Returned At,,Returned At
abandoned_orders.attributes.Shipped At,,Shipped At
abandoned_orders.attributes.State,,State
abandoned_orders.attributes.Tracking Number,,Tracking Number
abandoned_orders.attributes.User,,User
abandoned_orders.name.plural,,Abandoned Orders
abandoned_orders.scopes.Amount Greater Than,,Amount Greater Than
abandoned_orders.scopes.Amount Greater Than.10000,,10000
abandoned_orders.scopes.Amount Greater Than.20000,,20000
abandoned_orders.scopes.Amount Greater Than.5000,,5000
action_arguments.attributes.From,,From
action_arguments.attributes.From.placeholder,,Select an Option
action_arguments.attributes.To,,To
action_arguments.attributes.To.placeholder,,Select an Option
activity.comment on,,comment on
addresses.attributes.Address1,,地址1
addresses.attributes.Address2,,地址2
addresses.attributes.City,,城市
addresses.attributes.Contact Name,,联系人
addresses.attributes.Phone,,电话
articles.actions.Create New Version,,创建新版本
articles.actions.Delete,,删除
articles.attributes.Author,,作者
articles.attributes.Author.placeholder,,Select an Option
articles.attributes.Content,,Content
articles.attributes.ID,,ID
articles.attributes.Live Now,,Live Now
articles.attributes.Publish Ready,,Publish Ready
articles.attributes.Scheduled End At,,Scheduled End At
articles.attributes.Scheduled End At.placeholder,,YYYY-MM-DD HH:MM
articles.attributes.Scheduled Event,,Scheduled Event
articles.attributes.Scheduled Start At,,Scheduled Start At
articles.attributes.Scheduled Start At.placeholder,,YYYY-MM-DD HH:MM
articles.attributes.Title,,标题
articles.attributes.Version Name,,版本名
articles.name,,文章
articles.name.plural,,Articles
collections.actions.Delete,,Delete
collections.actions.Localize,,Localize
collections.attributes.ID,,ID
collections.attributes.Localization,,Localization
collections.attributes.Name,,Name
collections.name,,Collection
collections.name.plural,,Collections
color_variations.attributes.Color,,颜色
color_variations.attributes.Color.placeholder,,Select an Option
color_variations.attributes.Images,,图片
color_variations.attributes.Shareable Version,,Shareable Version
color_variations.attributes.Size Variations,,Size Variations
color_variations.attributes.add_Image,,添加图片
color_variations.attributes.add_图片,,Add 图片
colors.actions.Delete,,Delete
colors.actions.Localize,,Localize
colors.attributes.Code,,Code
colors.attributes.ID,,ID
colors.attributes.Localization,,Localization
colors.attributes.Name,,Name
colors.name.plural,,Colors
en-US,en-US,en-US
export_translation_arguments.attributes.Scope,,Scope
export_translation_arguments.attributes.Scope.placeholder,,Select an Option
home.feature_product.subtitle,"Your daily dose of QOR, brought to you by <a href=""https://theplant.jp/"">The Plant</a>","你每日使用 QOR的量, 通过 <a href=""https://theplant.jp/""> The Plant</a> 反馈给你"
home.feature_product.title,FEATURED PRODUCTS,特色产品
home.goodness.find_a_store,FIND A STORE,寻找店铺
home.goodness.get_newsletter,GET OUR NEWSLETTER,订阅我们的信件
home.goodness.get_newsletter_info,"Be the first to get new product infos, monthly newsletter exclusive deals and discounts!",订阅邮件获取最新的产品和折扣信息!
home.goodness.subtitle,If you just can't get enough…,如果你仍然没有得到足够的...
home.goodness.title,MORE QOR GOODNESS,更多关于QOR
layout.about_qor,"<p>QOR is Open Source software brought to you by <a href=""https://theplant.jp/"">The Plant</a> under an MIT license.</p><p>The name “QOR” is a trademark of The Plant and <a href=""https://theplant.jp/"">subject to trademark restrictions</a>.</p>","<p>Qor 是公开的开源项目，在 MIT 许可下发布。通过 <a href=""https://theplant.jp/"">The Plant</a> 呈现给你</p><p> “QOR” 是 The Plant 的商标<a href=""https://theplant.jp/"">受商标权的限制</a>.</p>"
layout.connect,CONNECT,联系我们
layout.footer_link.about_us,About Us,关于我们
layout.footer_link.blog,Blog,博客
layout.footer_link.faq,FAQs,常见问题解答
layout.footer_link.press,Press,新闻
layout.footer_link.privacy_policy,Privacy Policy,隐私政策
layout.footer_link.shipping,Shipping,配送
layout.footer_link.size_guide,Size Guide,尺寸指南
layout.footer_link.terms_of_use,Terms of Use,使用条款
layout.header_link.accessories,ACCESSORIES,配件
layout.header_link.apparel,APPAREL,衣服
layout.header_link.cart,CART,购物车
layout.header_link.help,HELP,帮助
layout.header_link.logout,Logout,登出
layout.header_link.my_account,MY ACCOUNT,我的账户
layout.header_link.register,REGISTER,
